Site,total_particles,volume_L,volume_m3,P_M3,PL,95_CIL_M3,95_CIU_M3,95_CIL_PL,95_CIU_PL
SK1,162.005,45,0.045,3600.11,3.6,3067.08,4199.15,3.07,4.2
SS1,1077.818,43,0.043,25065.53,25.07,23591.27,26607.8,23.59,26.61
M1,47.67,45,0.045,1059.33,1.06,780.18,1405.88,0.78,1.41
M2,139,45,0.045,3088.89,3.09,2596.75,3647.17,2.6,3.65
M3,132.52,35,0.035,3786.29,3.79,3169.11,4488.55,3.17,4.49
M4,21.67,42,0.042,515.95,0.52,322.06,783.58,0.32,0.78
M5,332.27,65,0.065,5111.85,5.11,4576.92,5692.12,4.58,5.69
M6,111.334,45,0.045,2474.09,2.47,2035.92,2978.61,2.04,2.98
M7,13.889,33,0.033,420.88,0.42,229.46,707.58,0.23,0.71
M8,28,45,0.045,622.22,0.62,413.46,899.28,0.41,0.9
M9,131.79,35,0.035,3765.43,3.77,3150.04,4465.92,3.15,4.47
B1,34.33,46,0.046,746.3,0.75,517.84,1041.22,0.52,1.04
B2,29.67,73,0.073,406.44,0.41,273.56,581.35,0.27,0.58
