FID_river_buffer_2km,site,length,key,COUNT,Pop,Sqr_km,
133,B1,10,B1_10,13887,191029.4187,51,
139,B1,2,B1_2,2186,27759.29202,7,
130,B1,20,B1_20,28316,303031.851,141,
136,B1,5,B1_5,4361,73208.44203,19,
155,B2,10,B2_10,3520,36755.63192,41,
164,B2,2,B2_2,692,6382.642886,8,
158,B2,20,B2_20,6679,67034.55322,79,
161,B2,5,B2_5,1615,16487.34456,19,
5,M1,10,M1_10,384,2033.631817,43,
10,M1,2,M1_2,137,472.6680493,9,
3,M1,20,M1_20,1443,10827.80508,89,
13,M1,5,M1_5,189,696.0120454,21,
47,M2,10,M2_10,2649,8666.825976,46,
50,M2,2,M2_2,87,409.3856107,8,
46,M2,20,M2_20,7747,29832.15254,158,
45,M2,5,M2_5,216,1135.27806,20,
57,M3,10,M3_10,669,4293.467148,41,
168,M3,2,M3_2,183,1174.446171,8,
54,M3,20,M3_20,740,5295.491442,84,
58,M3,5,M3_5,508,3260.211227,21,
62,M4,10,M4_10,908,7008.872675,45,
70,M4,2,M4_2,176,1228.131127,10,
59,M4,20,M4_20,1683,12831.29436,88,
65,M4,5,M4_5,469,5474.850492,25,
72,M5,10,M5_10,3303,20009.78817,49,
79,M5,2,M5_2,593,3055.281387,9,
73,M5,20,M5_20,4480,28531.80548,92,
80,M5,5,M5_5,2395,13663.04107,25,
86,M6,10,M6_10,4470,40584.13474,40,
92,M6,2,M6_2,1824,22269.12908,8,
83,M6,20,M6_20,5978,51508.1862,80,
87,M6,5,M6_5,4087,38640.12392,20,
106,M7,10,M7_10,12074,145844.6209,49,
111,M7,2,M7_2,2543,43231.0537,10,
99,M7,20,M7_20,19624,188358.3882,110,
112,M7,5,M7_5,6771,111805.7354,24,
120,M8,10,M8_10,9609,150208.2609,43,
127,M8,2,M8_2,1352,8936.392113,8,
121,M8,20,M8_20,26570,291031.4199,124,
124,M8,5,M8_5,3267,22202.27931,20,
143,M9,10,M9_10,1356,11134.6413,41,
151,M9,2,M9_2,201,1664.762056,7,
142,M9,20,M9_20,3271,23292.97726,82,
148,M9,5,M9_5,681,5597.041515,20,
20,SK1,10,SK1_10,136,1133.199612,41,
26,SK1,2,SK1_2,24,184.7245132,8,
17,SK1,20,SK1_20,158,1323.708325,93,
23,SK1,5,SK1_5,129,1072.583203,20,
29,SS1,10,SS1_10,310,644.689034,44,
35,SS1,2,SS1_2,45,179.6569316,8,
28,SS1,20,SS1_20,456,875.5187626,81,
33,SS1,5,SS1_5,118,341.1321305,20,
