site,length,key,Pop,Sqr_km,
B1,10,B1_10,191029.4187,51,
B1,2,B1_2,27759.29202,7,
B1,20,B1_20,303031.851,141,
B1,5,B1_5,73208.44203,19,
B2,10,B2_10,36755.63192,41,
B2,2,B2_2,6382.642886,8,
B2,20,B2_20,67034.55322,79,
B2,5,B2_5,16487.34456,19,
M1,10,M1_10,2033.631817,43,
M1,2,M1_2,472.6680493,9,
M1,20,M1_20,10827.80508,89,
M1,5,M1_5,696.0120454,21,
M2,10,M2_10,8666.825976,46,
M2,2,M2_2,409.3856107,8,
M2,20,M2_20,29832.15254,158,
M2,5,M2_5,1135.27806,20,
M3,10,M3_10,4293.467148,41,
M3,2,M3_2,1174.446171,8,
M3,20,M3_20,5295.491442,84,
M3,5,M3_5,3260.211227,21,
M4,10,M4_10,7008.872675,45,
M4,2,M4_2,1228.131127,10,
M4,20,M4_20,12831.29436,88,
M4,5,M4_5,5474.850492,25,
M5,10,M5_10,20009.78817,49,
M5,2,M5_2,3055.281387,9,
M5,20,M5_20,28531.80548,92,
M5,5,M5_5,13663.04107,25,
M6,10,M6_10,40584.13474,40,
M6,2,M6_2,22269.12908,8,
M6,20,M6_20,51508.1862,80,
M6,5,M6_5,38640.12392,20,
M7,10,M7_10,145844.6209,49,
M7,2,M7_2,43231.0537,10,
M7,20,M7_20,188358.3882,110,
M7,5,M7_5,111805.7354,24,
M8,10,M8_10,150208.2609,43,
M8,2,M8_2,8936.392113,8,
M8,20,M8_20,291031.4199,124,
M8,5,M8_5,22202.27931,20,
M9,10,M9_10,11134.6413,41,
M9,2,M9_2,1664.762056,7,
M9,20,M9_20,23292.97726,82,
M9,5,M9_5,5597.041515,20,
SK1,10,SK1_10,1133.199612,41,
SK1,2,SK1_2,184.7245132,8,
SK1,20,SK1_20,1323.708325,93,
SK1,5,SK1_5,1072.583203,20,
SS1,10,SS1_10,644.689034,44,
SS1,2,SS1_2,179.6569316,8,
SS1,20,SS1_20,875.5187626,81,
SS1,5,SS1_5,341.1321305,20,
